"","locus","chi2","df","Pr.chi2","Pr.exact","pop"
"34","AGBro144",10.9333333333333,15,0.75730578264058,0.612,"Cabour2018"
"35","AGBro153",1.11111111111111,3,0.774392516971433,1,"Cabour2018"
"36","AGBro16",0,0,1,1,"Cabour2018"
"37","AGBro161",0.625,1,0.429195300440349,1,"Cabour2018"
"38","AGBro20",0,0,1,1,"Cabour2018"
"39","AGBro218",3.64152892561983,3,0.302864843204974,0.176,"Cabour2018"
"40","AGBro227",5.48429752066116,15,0.987171181678189,0.914,"Cabour2018"
"41","AGBro234",1.5625,3,0.667922260806265,0.528,"Cabour2018"
"42","AGBro266",3.53057199211045,3,0.316818628825731,0.284,"Cabour2018"
"43","AGBro299",5.32544378698225,6,0.502799970670564,0.482,"Cabour2018"
"44","AGBro307",0.4,1,0.527089256865538,1,"Cabour2018"
"45","AGBro32",1.7151311090705,1,0.1903209864388,0.5,"Cabour2018"
"46","AGBro337",0.4,1,0.527089256865538,0.561,"Cabour2018"
"47","AGBro35",0.0277008310249308,1,0.867814107693651,1,"Cabour2018"
"48","AGBro375",0.0978142736384495,1,0.754468526649911,1,"Cabour2018"
"49","AGBro403",8.64489795918367,10,0.566102549472983,0.712,"Cabour2018"
"50","AGBro419",2.6466049382716,6,0.851712945140634,0.747,"Cabour2018"
"51","AGBro467",21.8877551020408,21,0.406002747020551,0.406,"Cabour2018"
"52","AGBro480",2.975,6,0.811977997759934,0.861,"Cabour2018"
"53","AGBro487",5.91111111111111,6,0.433220876930602,0.439,"Cabour2018"
"54","AGBro57",10,1,0.0015654022580025,0.008,"Cabour2018"
"55","AGBro76",1.25,6,0.974343069100974,0.898,"Cabour2018"
"56","AGBro9",15.2777777777778,21,0.808760064787487,0.879,"Cabour2018"
"57","AGBro110",5.8,3,0.121756619711254,0.104,"Tropiflora2018"
"58","AGBro111",22.5532301932777,10,0.012521390217253,0.003,"Tropiflora2018"
"59","AGBro116",0.493827160493827,3,0.920245449651764,1,"Tropiflora2018"
"60","AGBro12",7.15324875048058,6,0.306907194931034,0.395,"Tropiflora2018"
"61","AGBro138",1.60352513456918,1,0.205404362352004,0.223,"Tropiflora2018"
"62","AGBro144",24.3034336419753,21,0.278589768798934,0.282,"Tropiflora2018"
"63","AGBro153",0.993797747191801,3,0.80275271568095,0.877,"Tropiflora2018"
"64","AGBro16",0,0,1,1,"Tropiflora2018"
"65","AGBro161",3.73333333333333,6,0.712710579278121,0.631,"Tropiflora2018"
"66","AGBro20",0,0,1,1,"Tropiflora2018"
"67","AGBro218",0.65530612244898,1,0.418221965954249,0.548,"Tropiflora2018"
"68","AGBro227",1.25,21,0.999999999658071,1,"Tropiflora2018"
"69","AGBro234",5.86813492063492,3,0.118204994945193,0.183,"Tropiflora2018"
"70","AGBro266",0.00697288648140808,1,0.933450947095637,1,"Tropiflora2018"
"71","AGBro299",0.246913580246914,6,0.999714039396329,1,"Tropiflora2018"
"72","AGBro307",2.32097572756913,1,0.127639939233524,0.153,"Tropiflora2018"
"73","AGBro32",0.0526315789473684,1,0.818545808382043,1,"Tropiflora2018"
"74","AGBro337",1.25,1,0.263552477282973,0.528,"Tropiflora2018"
"75","AGBro35",4.28063879037567,1,0.0385488582062943,0.071,"Tropiflora2018"
"76","AGBro375",0.899908172635446,1,0.342806334629711,1,"Tropiflora2018"
"77","AGBro403",12.8270647101816,15,0.615653425135941,0.281,"Tropiflora2018"
"78","AGBro419",9.94926538108356,6,0.126804888051969,0.077,"Tropiflora2018"
"79","AGBro467",15.2507936507936,21,0.810160572691275,0.9,"Tropiflora2018"
"80","AGBro480",4.83950617283951,6,0.564556504760227,0.687,"Tropiflora2018"
"81","AGBro487",3.48979591836735,3,0.322087969465165,0.224,"Tropiflora2018"
"82","AGBro57",0.824652777777778,1,0.363823305559639,0.362,"Tropiflora2018"
"83","AGBro76",15.6172839506173,6,0.0159624364980153,0.024,"Tropiflora2018"
"84","AGBro9",30.6888888888889,28,0.331067265927141,0.317,"Tropiflora2018"
"85","AGBro110",6.82729719338716,3,0.0776109334909867,0.077,"Westhoek vissersdorp2018"
"86","AGBro111",10.9820115591122,15,0.753868496283532,0.279,"Westhoek vissersdorp2018"
"87","AGBro116",2.05076261358465,3,0.561937859224456,0.302,"Westhoek vissersdorp2018"
"88","AGBro12",22.4253049894076,6,0.00101367561257293,0.045,"Westhoek vissersdorp2018"
"89","AGBro138",2.8125,1,0.0935325126890938,0.134,"Westhoek vissersdorp2018"
"90","AGBro144",9.15123456790123,15,0.869477936591764,0.778,"Westhoek vissersdorp2018"
"91","AGBro153",19.9388888888889,6,0.00283961119470033,0.055,"Westhoek vissersdorp2018"
"92","AGBro16",0.0554016620498615,3,0.996588885939038,1,"Westhoek vissersdorp2018"
"93","AGBro161",0.259397876797778,3,0.967474548777022,0.792,"Westhoek vissersdorp2018"
"94","AGBro20",0,0,1,1,"Westhoek vissersdorp2018"
"95","AGBro218",0.28125,1,0.595883090565178,1,"Westhoek vissersdorp2018"
"96","AGBro227",2.4234693877551,6,0.876932416134804,0.601,"Westhoek vissersdorp2018"
"97","AGBro234",4.07534591335667,3,0.253442231128669,0.235,"Westhoek vissersdorp2018"
"98","AGBro266",0.408163265306122,1,0.522903234512671,1,"Westhoek vissersdorp2018"
"99","AGBro299",20.3463139120095,6,0.00240237521811637,0.071,"Westhoek vissersdorp2018"
"100","AGBro307",0.459753086419753,1,0.497739391162827,0.663,"Westhoek vissersdorp2018"
"101","AGBro32",1.77900892582333,1,0.182271071740527,0.211,"Westhoek vissersdorp2018"
"102","AGBro337",1.61184189009753,1,0.204233082294911,0.21,"Westhoek vissersdorp2018"
"103","AGBro35",0.8,1,0.371093369522698,0.555,"Westhoek vissersdorp2018"
"104","AGBro375",0.65530612244898,1,0.418221965954249,0.528,"Westhoek vissersdorp2018"
"105","AGBro403",24.5572888649812,21,0.266846776204396,0.135,"Westhoek vissersdorp2018"
"106","AGBro419",14.520987654321,6,0.0243280921554191,0.033,"Westhoek vissersdorp2018"
"107","AGBro467",16.8888888888889,21,0.7178192395311,0.641,"Westhoek vissersdorp2018"
"108","AGBro480",3.83793873216864,6,0.698596780044349,0.373,"Westhoek vissersdorp2018"
"109","AGBro487",4.56185848865003,6,0.601102276020481,0.305,"Westhoek vissersdorp2018"
"110","AGBro57",14.6763273853111,1,0.00012763932344162,0.002,"Westhoek vissersdorp2018"
"111","AGBro76",5.75678670360111,6,0.45097909106427,0.348,"Westhoek vissersdorp2018"
"112","AGBro9",19.7911059848776,21,0.534525222152798,0.007,"Westhoek vissersdorp2018"
"113","AGBro110",8.78968253968254,6,0.185756236316687,0.226,"Geel-Bel2018"
"114","AGBro111",6.86463428346545,6,0.333547471363435,0.167,"Geel-Bel2018"
"115","AGBro116",2.08172114685261,3,0.555619542062134,0.361,"Geel-Bel2018"
"116","AGBro12",47.0931952662722,28,0.0133917722428107,0.003,"Geel-Bel2018"
"117","AGBro138",0.0131492439184747,1,0.908706572535466,1,"Geel-Bel2018"
"118","AGBro144",2.83801020408163,6,0.828886396155583,0.775,"Geel-Bel2018"
"119","AGBro153",0.246913580246914,3,0.969682452261165,1,"Geel-Bel2018"
"120","AGBro16",2.40402953689667,6,0.879049883281991,0.751,"Geel-Bel2018"
"121","AGBro161",1.01979691723281,3,0.796461837409714,0.875,"Geel-Bel2018"
"122","AGBro20",0.131482834185537,1,0.716899512979824,1,"Geel-Bel2018"
"123","AGBro218",4.61797942317423,1,0.031638486879946,0.068,"Geel-Bel2018"
"124","AGBro227",1.17037037037037,6,0.978322910505945,0.861,"Geel-Bel2018"
"125","AGBro234",4.02222222222222,3,0.259074508165553,0.264,"Geel-Bel2018"
"126","AGBro266",0.410220799094685,3,0.938123117591993,1,"Geel-Bel2018"
"127","AGBro299",3.15263360246059,3,0.368685474441596,0.356,"Geel-Bel2018"
"128","AGBro307",2.07841230804427,3,0.556292431249656,0.336,"Geel-Bel2018"
"129","AGBro32",4.02968796501912,3,0.258276159463637,0.2,"Geel-Bel2018"
"130","AGBro337",0.536974048878811,3,0.910696442774929,0.912,"Geel-Bel2018"
"131","AGBro35",6.49554861833738,1,0.0108144918859646,0.026,"Geel-Bel2018"
"132","AGBro375",0.8,1,0.371093369522698,0.535,"Geel-Bel2018"
"133","AGBro403",23.3658856135047,15,0.0766743681579704,0.054,"Geel-Bel2018"
"134","AGBro419",1.18628257887517,3,0.756296161086848,0.535,"Geel-Bel2018"
"135","AGBro467",8.75566893424036,15,0.889942227623301,0.677,"Geel-Bel2018"
"136","AGBro480",2.1301775147929,3,0.545831813082364,0.431,"Geel-Bel2018"
"137","AGBro487",2.13333333333333,6,0.90703642493862,0.759,"Geel-Bel2018"
"138","AGBro57",7.70155325443787,1,0.00551733266239507,0.012,"Geel-Bel2018"
"139","AGBro76",2.94614835220896,3,0.400002781465758,0.328,"Geel-Bel2018"
"140","AGBro9",14.4409972299169,15,0.492379723065605,0.279,"Geel-Bel2018"
"141","AGBro110",5.14413265306122,3,0.161542208041659,0.09,"Karthuizerduinen2018"
"142","AGBro111",4.51147959183673,10,0.921338421202579,1,"Karthuizerduinen2018"
"143","AGBro116",3.49586776859504,3,0.321298452957684,0.454,"Karthuizerduinen2018"
"144","AGBro12",3.625,10,0.962682657512066,0.906,"Karthuizerduinen2018"
"145","AGBro138",0.140625,1,0.707660466654553,1,"Karthuizerduinen2018"
"146","AGBro144",5.2,10,0.877423488877212,0.966,"Karthuizerduinen2018"
"147","AGBro153",4.76859504132231,6,0.573816611596235,0.618,"Karthuizerduinen2018"
"148","AGBro16",0,0,1,1,"Karthuizerduinen2018"
"149","AGBro161",3.77777777777778,3,0.286481550583803,0.212,"Karthuizerduinen2018"
"150","AGBro20",0,0,1,1,"Karthuizerduinen2018"
"151","AGBro218",2.25,1,0.133614402537715,0.447,"Karthuizerduinen2018"
"152","AGBro227",0.36,1,0.548506235500147,1,"Karthuizerduinen2018"
"153","AGBro234",1.75,3,0.625875453460573,0.449,"Karthuizerduinen2018"
"154","AGBro266",1.33136094674556,1,0.248563248217182,1,"Karthuizerduinen2018"
"155","AGBro299",1.33136094674556,6,0.969900297981794,1,"Karthuizerduinen2018"
"156","AGBro307",4.70556213017751,1,0.0300651682340608,0.06,"Karthuizerduinen2018"
"157","AGBro32",0,1,1,1,"Karthuizerduinen2018"
"158","AGBro337",2.25,1,0.133614402537715,0.154,"Karthuizerduinen2018"
"159","AGBro35",0.257751479289941,1,0.611669143863938,1,"Karthuizerduinen2018"
"160","AGBro375",1.1025,1,0.293718112751792,0.56,"Karthuizerduinen2018"
"161","AGBro403",6.6930612244898,10,0.75406920565871,0.417,"Karthuizerduinen2018"
"162","AGBro419",4.32,6,0.63345782483787,0.504,"Karthuizerduinen2018"
"163","AGBro467",13.74,21,0.880506070893524,0.978,"Karthuizerduinen2018"
"164","AGBro480",3.0625,3,0.382088929620425,0.389,"Karthuizerduinen2018"
"165","AGBro487",0.64,3,0.887217281585166,1,"Karthuizerduinen2018"
"166","AGBro57",1.14795918367347,1,0.283976771750912,0.344,"Karthuizerduinen2018"
"167","AGBro76",1.68444444444444,6,0.946315855651867,1,"Karthuizerduinen2018"
"168","AGBro9",10.375,10,0.408231807626585,0.388,"Karthuizerduinen2018"
"169","AGBro110",0.173611111111111,3,0.981732544366381,1,"Oostvoordduinen2018"
"170","AGBro111",25.3055983037516,15,0.0459868115008349,0.437,"Oostvoordduinen2018"
"171","AGBro116",1.34320987654321,6,0.969221689635266,1,"Oostvoordduinen2018"
"172","AGBro12",8.93333333333333,21,0.98972889574535,0.943,"Oostvoordduinen2018"
"173","AGBro138",0.078125,1,0.779854617964919,1,"Oostvoordduinen2018"
"174","AGBro144",35.1928374655647,21,0.0268893191517027,0.084,"Oostvoordduinen2018"
"175","AGBro153",1.83265306122449,3,0.607855173314261,0.229,"Oostvoordduinen2018"
"176","AGBro16",0.0131492439184747,1,0.908706572535466,1,"Oostvoordduinen2018"
"177","AGBro161",5.34532871972318,6,0.500344294591776,0.264,"Oostvoordduinen2018"
"178","AGBro20",0.131482834185537,1,0.716899512979824,1,"Oostvoordduinen2018"
"179","AGBro218",0.222222222222222,1,0.637351888233937,0.655,"Oostvoordduinen2018"
"180","AGBro227",11.4795918367347,21,0.952614555768144,0.751,"Oostvoordduinen2018"
"181","AGBro234",3.24750309709941,3,0.355016322891746,0.239,"Oostvoordduinen2018"
"182","AGBro266",1.68574401664932,3,0.640107864435534,0.647,"Oostvoordduinen2018"
"183","AGBro299",8.06122448979592,6,0.233652082256112,0.299,"Oostvoordduinen2018"
"184","AGBro307",2.32097572756913,1,0.127639939233524,0.158,"Oostvoordduinen2018"
"185","AGBro32",1.25,1,0.263552477282973,0.387,"Oostvoordduinen2018"
"186","AGBro337",1.28355555555556,1,0.257238985181026,0.361,"Oostvoordduinen2018"
"187","AGBro35",4.35555555555556,1,0.0368884257070499,0.053,"Oostvoordduinen2018"
"188","AGBro375",0.195628547276899,1,0.658272738442033,1,"Oostvoordduinen2018"
"189","AGBro403",4.8506215517044,10,0.900930528715811,0.916,"Oostvoordduinen2018"
"190","AGBro419",10.4857069892035,6,0.105632313930407,0.187,"Oostvoordduinen2018"
"191","AGBro467",28.6682933228388,21,0.122195581683031,0.311,"Oostvoordduinen2018"
"192","AGBro480",4.509556815795,3,0.211439423643661,0.199,"Oostvoordduinen2018"
"193","AGBro487",13.0888888888889,6,0.0416459012839351,0.013,"Oostvoordduinen2018"
"194","AGBro57",1.97551020408163,1,0.159864197547973,0.243,"Oostvoordduinen2018"
"195","AGBro76",2.93252595155709,6,0.817266674473553,0.91,"Oostvoordduinen2018"
"196","AGBro9",35.9986716580123,36,0.46870983532471,0.323,"Oostvoordduinen2018"
"197","AGBro110",4.58539007889657,3,0.204798983003677,0.235,"Astridlaan2018"
"198","AGBro111",28.9777777777778,21,0.114536045861577,0.067,"Astridlaan2018"
"199","AGBro116",2.25671487603306,3,0.520863864490305,0.69,"Astridlaan2018"
"200","AGBro12",9.62316005672649,10,0.474152895505556,0.146,"Astridlaan2018"
"201","AGBro138",0.824850054843754,1,0.36376592924653,0.554,"Astridlaan2018"
"202","AGBro144",19.5085059171598,21,0.552554897940096,0.246,"Astridlaan2018"
"203","AGBro153",2.02616163737777,3,0.566994553491574,0.204,"Astridlaan2018"
"204","AGBro16",0.0156106519742883,1,0.900568996852725,1,"Astridlaan2018"
"205","AGBro161",3.13888888888889,6,0.791223840191318,0.536,"Astridlaan2018"
"206","AGBro20",0.0166493236212279,1,0.897332123936804,1,"Astridlaan2018"
"207","AGBro218",2.75510204081633,1,0.0969446310908335,0.217,"Astridlaan2018"
"208","AGBro227",7.46173553719008,10,0.681252656951335,0.259,"Astridlaan2018"
"209","AGBro234",9.64923469387755,3,0.0217956213311025,0.01,"Astridlaan2018"
"210","AGBro266",2.95138888888889,3,0.399180937757702,0.451,"Astridlaan2018"
"211","AGBro299",5.59220255946521,6,0.470383559853912,0.371,"Astridlaan2018"
"212","AGBro307",0.138733629464505,1,0.709543215524759,0.625,"Astridlaan2018"
"213","AGBro32",0.0138775510204081,1,0.906223738282286,1,"Astridlaan2018"
"214","AGBro337",1.77777777777778,1,0.182422439451736,0.328,"Astridlaan2018"
"215","AGBro35",2.03698224852071,1,0.153513935401697,0.19,"Astridlaan2018"
"216","AGBro375",1.25244897959184,1,0.263085250434902,0.329,"Astridlaan2018"
"217","AGBro403",29.8150617283951,21,0.0957677891578257,0.314,"Astridlaan2018"
"218","AGBro419",13.3333333333333,6,0.0380376102844898,0.018,"Astridlaan2018"
"219","AGBro467",17,21,0.711106192747456,0.453,"Astridlaan2018"
"220","AGBro480",4.33641975308642,6,0.631249800195029,0.438,"Astridlaan2018"
"221","AGBro487",5.57976089844222,6,0.471869415983411,0.388,"Astridlaan2018"
"222","AGBro57",0.0178359096313912,1,0.893757514780573,1,"Astridlaan2018"
"223","AGBro76",8.64674012855831,6,0.194441394057082,0.108,"Astridlaan2018"
"224","AGBro9",18.8075617283951,28,0.903967954882115,0.982,"Astridlaan2018"
"225","AGBro110",5.31,3,0.150454820812939,0.069,"Wetteren2018"
"226","AGBro111",4.63591836734694,3,0.200482390192983,0.171,"Wetteren2018"
"227","AGBro116",2.77777777777778,1,0.0955807045456288,0.23,"Wetteren2018"
"228","AGBro12",0,0,1,1,"Wetteren2018"
"229","AGBro138",0.0311418685121107,1,0.859924253238214,1,"Wetteren2018"
"230","AGBro144",12.5277777777778,10,0.251284931089697,0.399,"Wetteren2018"
"231","AGBro153",12.24,3,0.00660465114976272,0.001,"Wetteren2018"
"232","AGBro16",0,0,1,1,"Wetteren2018"
"233","AGBro161",2.7225,1,0.098942936067296,0.165,"Wetteren2018"
"234","AGBro20",0,0,1,1,"Wetteren2018"
"235","AGBro218",3.64462809917355,3,0.302483069689165,0.356,"Wetteren2018"
"236","AGBro227",3.94082840236686,3,0.267924890351804,0.271,"Wetteren2018"
"237","AGBro234",1.29719387755102,3,0.729799525529006,0.818,"Wetteren2018"
"238","AGBro266",0.140625,1,0.707660466654553,1,"Wetteren2018"
"239","AGBro299",0.0311418685121107,1,0.859924253238214,1,"Wetteren2018"
"240","AGBro307",0.0311418685121107,1,0.859924253238214,1,"Wetteren2018"
"241","AGBro32",0.734693877551021,1,0.391365938307552,1,"Wetteren2018"
"242","AGBro337",1,1,0.317310507862914,0.469,"Wetteren2018"
"243","AGBro35",0.257751479289941,1,0.611669143863938,1,"Wetteren2018"
"244","AGBro375",0.256535672120088,1,0.612510247035846,1,"Wetteren2018"
"245","AGBro403",0.0311418685121107,1,0.859924253238214,1,"Wetteren2018"
"246","AGBro419",1.75,6,0.941196278805382,0.707,"Wetteren2018"
"247","AGBro467",6.42857142857143,6,0.376930268521933,0.447,"Wetteren2018"
"248","AGBro480",0.140625,1,0.707660466654553,1,"Wetteren2018"
"249","AGBro487",9.36,3,0.0248683266724656,0.003,"Wetteren2018"
"250","AGBro57",0,0,1,1,"Wetteren2018"
"251","AGBro76",6.10714285714286,3,0.106512268331209,0.157,"Wetteren2018"
"252","AGBro9",17.24,10,0.0692192329181301,0.171,"Wetteren2018"
"253","AGBro110",0.596491228070176,3,0.89723515473319,0.859,"Mt St Frieux2018"
"254","AGBro111",17.6198830409357,10,0.0617243411508458,0.007,"Mt St Frieux2018"
"255","AGBro116",3.23,10,0.975481429299444,0.894,"Mt St Frieux2018"
"256","AGBro12",23.1619834710744,21,0.335402937890696,0.487,"Mt St Frieux2018"
"257","AGBro138",0.294145129435749,1,0.587576396813677,0.488,"Mt St Frieux2018"
"258","AGBro144",12.6350877192982,10,0.244795937075203,0.209,"Mt St Frieux2018"
"259","AGBro153",2.33404444444445,3,0.506030287109941,0.384,"Mt St Frieux2018"
"260","AGBro16",0.436179981634527,3,0.932671204486543,1,"Mt St Frieux2018"
"261","AGBro161",2.86809917355372,3,0.412411918960812,0.452,"Mt St Frieux2018"
"262","AGBro20",0.0138787436084733,1,0.906219727573062,1,"Mt St Frieux2018"
"263","AGBro218",0.459753086419753,1,0.497739391162827,0.634,"Mt St Frieux2018"
"264","AGBro227",0.968782518210198,3,0.808805050431357,1,"Mt St Frieux2018"
"265","AGBro234",2.67282604934427,3,0.444864992255043,0.306,"Mt St Frieux2018"
"266","AGBro266",4.93652501344809,3,0.176504538910153,0.076,"Mt St Frieux2018"
"267","AGBro299",1.1875,6,0.977497622969213,1,"Mt St Frieux2018"
"268","AGBro307",5.80610475199445,3,0.121434297948612,0.186,"Mt St Frieux2018"
"269","AGBro32",1.76542017201358,3,0.6224886459474,0.663,"Mt St Frieux2018"
"270","AGBro337",0.058641975308642,1,0.808655372639763,1,"Mt St Frieux2018"
"271","AGBro35",11.2562350780533,1,0.000793560028131135,0.008,"Mt St Frieux2018"
"272","AGBro375",0.051985798816568,1,0.819643173831322,1,"Mt St Frieux2018"
"273","AGBro403",23.1683673469388,28,0.724568698292412,0.512,"Mt St Frieux2018"
"274","AGBro419",3.11842105263158,3,0.373724900470423,0.384,"Mt St Frieux2018"
"275","AGBro467",16.8044444444444,28,0.952352344183539,0.976,"Mt St Frieux2018"
"276","AGBro480",1.56876376759518,3,0.666492979332391,0.628,"Mt St Frieux2018"
"277","AGBro487",5.11495194156094,6,0.529156593122802,0.408,"Mt St Frieux2018"
"278","AGBro57",1.96301020408163,1,0.161191748132014,0.193,"Mt St Frieux2018"
"279","AGBro76",3.36199183673469,6,0.762231248516056,0.598,"Mt St Frieux2018"
"280","AGBro9",30.6668244575937,28,0.332072126161861,0.61,"Mt St Frieux2018"
"281","AGBro110",7.65432098765432,3,0.0537230911629796,0.096,"Sangatte2018"
"282","AGBro111",11.95,15,0.682809676325727,0.272,"Sangatte2018"
"283","AGBro116",1.40408163265306,6,0.965609652806413,0.771,"Sangatte2018"
"284","AGBro12",5.06460572394638,10,0.886820685277552,0.615,"Sangatte2018"
"285","AGBro138",0,0,1,1,"Sangatte2018"
"286","AGBro144",12.8458049886621,15,0.614206619025326,0.215,"Sangatte2018"
"287","AGBro153",8.63431952662722,6,0.195212007041198,0.131,"Sangatte2018"
"288","AGBro16",13.75,6,0.0325569482552025,0.059,"Sangatte2018"
"289","AGBro161",1.48989104635534,3,0.684605429324024,0.609,"Sangatte2018"
"290","AGBro20",0.246913580246914,1,0.619256754176862,1,"Sangatte2018"
"291","AGBro218",1.68888888888889,3,0.63940686897266,0.484,"Sangatte2018"
"292","AGBro227",8.35555555555556,10,0.59414975279154,0.309,"Sangatte2018"
"293","AGBro234",1.50793650793651,3,0.680439803591365,0.932,"Sangatte2018"
"294","AGBro266",0.032,1,0.858027656987521,1,"Sangatte2018"
"295","AGBro299",22.8449905482042,6,0.000850092557655224,0.047,"Sangatte2018"
"296","AGBro307",1.10586011342155,3,0.775659620583951,0.782,"Sangatte2018"
"297","AGBro32",0.314100509546641,1,0.575174781853156,1,"Sangatte2018"
"298","AGBro337",0.330381973447588,1,0.565434254795025,1,"Sangatte2018"
"299","AGBro35",4.61797942317423,1,0.031638486879946,0.056,"Sangatte2018"
"300","AGBro375",4.78844970414201,3,0.187959679827566,0.242,"Sangatte2018"
"301","AGBro403",13.5533333333333,21,0.888010606686548,0.863,"Sangatte2018"
"302","AGBro419",0.259397876797778,3,0.967474548777022,0.841,"Sangatte2018"
"303","AGBro467",15.5742749653006,28,0.971713318848119,0.885,"Sangatte2018"
"304","AGBro480",3.72028316405048,6,0.714468113095982,0.671,"Sangatte2018"
"305","AGBro487",2.82775855440215,6,0.830133716636723,0.766,"Sangatte2018"
"306","AGBro57",20,1,7.74421643101597e-06,0,"Sangatte2018"
"307","AGBro76",1.86666666666667,6,0.931543574324279,0.726,"Sangatte2018"
"308","AGBro9",28.7210884353741,36,0.800531550114582,0.731,"Sangatte2018"
"309","AGBro110",4.6875,3,0.196163155828374,0.217,"HB-Pylyserlaan2018"
"310","AGBro111",7.77777777777778,6,0.254840177258302,0.361,"HB-Pylyserlaan2018"
"311","AGBro116",2.54444444444444,3,0.467312494775929,0.451,"HB-Pylyserlaan2018"
"312","AGBro12",4.97520661157025,10,0.892828069314536,0.764,"HB-Pylyserlaan2018"
"313","AGBro138",0.625,1,0.429195300440349,1,"HB-Pylyserlaan2018"
"314","AGBro144",14.0277777777778,15,0.523423445158946,0.437,"HB-Pylyserlaan2018"
"315","AGBro153",0.539119000657462,3,0.910216817493043,1,"HB-Pylyserlaan2018"
"316","AGBro16",0,0,1,1,"HB-Pylyserlaan2018"
"317","AGBro161",1.85956790123457,3,0.602058862304942,0.671,"HB-Pylyserlaan2018"
"318","AGBro20",0.0277008310249308,1,0.867814107693651,1,"HB-Pylyserlaan2018"
"319","AGBro218",1.83673469387755,1,0.175334143776601,0.465,"HB-Pylyserlaan2018"
"320","AGBro227",0.625,10,0.999980839824773,1,"HB-Pylyserlaan2018"
"321","AGBro234",4.5679012345679,3,0.206313030704489,0.388,"HB-Pylyserlaan2018"
"322","AGBro266",5.46122448979592,3,0.140976304538031,0.038,"HB-Pylyserlaan2018"
"323","AGBro299",20,6,0.0027693957155116,0.014,"HB-Pylyserlaan2018"
"324","AGBro307",0.625,1,0.429195300440349,1,"HB-Pylyserlaan2018"
"325","AGBro32",0.625,1,0.429195300440349,1,"HB-Pylyserlaan2018"
"326","AGBro337",0.0978142736384495,1,0.754468526649911,1,"HB-Pylyserlaan2018"
"327","AGBro35",1.40625,1,0.235679913429038,0.304,"HB-Pylyserlaan2018"
"328","AGBro375",0.277777777777778,1,0.598161452683528,0.583,"HB-Pylyserlaan2018"
"329","AGBro403",10.4081632653061,15,0.79331054470628,0.708,"HB-Pylyserlaan2018"
"330","AGBro419",10.8163265306122,3,0.0127616808043989,0.107,"HB-Pylyserlaan2018"
"331","AGBro467",12.5,15,0.640856486577167,0.873,"HB-Pylyserlaan2018"
"332","AGBro480",0.935374149659864,3,0.816883897049584,1,"HB-Pylyserlaan2018"
"333","AGBro487",2.975,6,0.811977997759934,0.853,"HB-Pylyserlaan2018"
