"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"358","AGBro419",0.236572890025575,0.213554987212276,0.0115108543417367,0.457374226006192,"HB-Doornpanne"
"359","AGBro467",0.0162271805273834,3.37031989618351e-17,-0.0963089070855615,0.167117647058823,"HB-Doornpanne"
"360","AGBro480",0.137647058823529,0.118212669683258,-0.0304621848739496,0.302172459893048,"HB-Doornpanne"
"361","AGBro487",0.0429864253393665,0.0282805429864253,-0.0958317520556609,0.185421994884911,"HB-Doornpanne"
"362","AGBro57",0.197916666666667,0.186335784313726,-0.00784313725490201,0.41522491349481,"HB-Doornpanne"
"363","AGBro76",0.02375,0.0125,-0.128505852772143,0.206949043204238,"HB-Doornpanne"
"364","AGBro9",0.0303921568627451,0.0144686907020873,-0.070785288547237,0.135757080610022,"HB-Doornpanne"
"365","AGBro110",0.00735294117647063,-0.00648148148148151,-0.118566176470588,0.153247549019608,"Witte Burg"
"366","AGBro111",0.0721561969439729,0.0530427631578948,-0.0594172932330827,0.217397660818713,"Witte Burg"
"367","AGBro116",-0.0398981324278438,-0.0485197368421053,-0.147871517027864,0.0831791497975709,"Witte Burg"
"368","AGBro12",0.0373514431239389,0.0297679683078664,-0.0611842105263158,0.144807330827068,"Witte Burg"
"369","AGBro138",0.0884210526315789,0.0799595141700404,-0.0640350877192983,0.293471889952153,"Witte Burg"
"370","AGBro144",0.0608552631578948,0.0485197368421053,-0.0599467418546365,0.179511278195489,"Witte Burg"
"371","AGBro153",0.00362976406533572,-0.00998185117967337,-0.114309210526316,0.155968623481781,"Witte Burg"
"372","AGBro16",NA,NA,NA,NA,"Witte Burg"
"373","AGBro161",0.0328947368421052,0.0291353383458646,-0.109416118421053,0.190615131578947,"Witte Burg"
"374","AGBro20",-0.00555555555555558,-0.00555555555555558,-0.030193236714976,0,"Witte Burg"
"375","AGBro218",-0.137770897832817,-0.145933014354067,-0.21125730994152,-0.0585314091680816,"Witte Burg"
"376","AGBro227",0.000992063492063425,-0.0101859712004024,-0.107565202067669,0.105360623781676,"Witte Burg"
"377","AGBro234",0.0169779286926995,0.00679117147707987,-0.101522556390977,0.164766081871345,"Witte Burg"
"378","AGBro266",-0.0159774436090226,-0.0254083484573503,-0.137161084529506,0.130526315789474,"Witte Burg"
"379","AGBro299",-0.0617059891107078,-0.0644283121597096,-0.112445798444976,-0.0262894736842105,"Witte Burg"
"380","AGBro307",0.0799595141700404,0.0597165991902833,-0.0814940577249575,0.238346421884751,"Witte Burg"
"381","AGBro32",0.0178571428571428,0.0140977443609022,-0.122248381791171,0.183114035087719,"Witte Burg"
"382","AGBro337",-0.0907441016333938,-0.0907441016333938,-0.156299840510367,-0.0378947368421052,"Witte Burg"
