"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"95","AGBro218",-0.0396825396825397,-0.0515873015873017,-0.159747023809524,0.113684210526316,"Westhoek vissersdorp2018"
"96","AGBro227",-0.0366541353383458,-0.0400111607142858,-0.102159187030075,0.0289470996732026,"Westhoek vissersdorp2018"
"97","AGBro234",0.109821428571429,0.0964285714285714,-0.0366875,0.263541666666667,"Westhoek vissersdorp2018"
"98","AGBro266",-0.025,-0.025,-0.0698275862068966,-0.00454545454545445,"Westhoek vissersdorp2018"
"99","AGBro299",0.0601851851851852,0.0491071428571429,-0.0629310344827587,0.235897826086956,"Westhoek vissersdorp2018"
"100","AGBro307",0.05458089668616,0.0444639812446718,-0.0977840909090909,0.237986270022883,"Westhoek vissersdorp2018"
"101","AGBro32",0.110185185185185,0.102777777777778,-0.0524193548387097,0.294565217391304,"Westhoek vissersdorp2018"
"102","AGBro337",0.102777777777778,0.0923076923076923,-0.0625,0.277608695652173,"Westhoek vissersdorp2018"
"103","AGBro35",0.0576923076923077,0.0458333333333335,-0.0698275862068966,0.216304347826087,"Westhoek vissersdorp2018"
"104","AGBro375",0.0547368421052632,0.0458333333333335,-0.0653661151960784,0.221061507936508,"Westhoek vissersdorp2018"
"105","AGBro403",-0.0625,-0.0703325035561878,-0.136257211538462,0.0171428571428572,"Westhoek vissersdorp2018"
"106","AGBro419",0.0588709677419354,0.0483870967741935,-0.0831811683006536,0.232438568376068,"Westhoek vissersdorp2018"
"107","AGBro467",0.0171428571428572,0.00357142857142856,-0.0783033906882591,0.109375,"Westhoek vissersdorp2018"
"108","AGBro480",0.0583333333333334,0.0453703703703704,-0.0566431781045751,0.1990625,"Westhoek vissersdorp2018"
"109","AGBro487",0.0905172413793104,0.0784523809523809,-0.03333984375,0.223025961538462,"Westhoek vissersdorp2018"
"110","AGBro57",0.284523809523809,0.277173913043478,0.0845238095238094,0.455,"Westhoek vissersdorp2018"
"111","AGBro76",0.0459677419354839,0.0357196969696969,-0.0812591911764706,0.175023148148148,"Westhoek vissersdorp2018"
"112","AGBro9",0.194827586206897,0.175416666666667,0.0348171164772727,0.33085,"Westhoek vissersdorp2018"
"113","AGBro110",-0.0921052631578947,-0.100666785206259,-0.15125,-0.038186011904762,"Geel-Bel2018"
"114","AGBro111",0.0808333333333333,0.0725806451612903,-0.043049834280303,0.233701923076923,"Geel-Bel2018"
"115","AGBro116",0.0836206896551725,0.0749999999999999,-0.0580645161290322,0.243078846153846,"Geel-Bel2018"
"116","AGBro12",0.166129032258064,0.147994791666667,0.0080824579831933,0.305391483516483,"Geel-Bel2018"
"117","AGBro138",-0.00119047619047616,-0.00119047619047616,-0.00978260869565226,0,"Geel-Bel2018"
"118","AGBro144",-0.0301470588235294,-0.0452941176470588,-0.138513513513513,0.0891666666666667,"Geel-Bel2018"
"119","AGBro153",-0.0135416666666667,-0.0135416666666667,-0.0437500000000001,-0.00119047619047616,"Geel-Bel2018"
"120","AGBro16",-0.06328125,-0.071875,-0.147222222222222,0.0401991071428571,"Geel-Bel2018"
"121","AGBro161",0.02578125,0.0137096774193548,-0.0923611111111111,0.150892857142857,"Geel-Bel2018"
"122","AGBro20",-0.00978260869565226,-0.00978260869565226,-0.0346153846153846,0,"Geel-Bel2018"
"123","AGBro218",0.120652173913044,0.0999999999999999,-0.0166666666666667,0.290909090909091,"Geel-Bel2018"
"124","AGBro227",-0.0141666666666667,-0.0241369047619047,-0.100775401069519,0.0999999999999999,"Geel-Bel2018"
"125","AGBro234",-0.0911764705882353,-0.099978354978355,-0.189864864864865,0.0268060344827586,"Geel-Bel2018"
"126","AGBro266",-0.03671875,-0.04765625,-0.141666666666667,0.0714508928571428,"Geel-Bel2018"
"127","AGBro299",0.0130000000000001,0.00900000000000007,-0.036111111111111,0.0709999999999999,"Geel-Bel2018"
"128","AGBro307",0.0830357142857143,0.0705357142857143,-0.075,0.245833333333333,"Geel-Bel2018"
"129","AGBro32",0.0908333333333333,0.0724999999999999,-0.0507142857142857,0.2346875,"Geel-Bel2018"
"130","AGBro337",0.0056451612903226,-0.00948275862068961,-0.104882440476191,0.139823908730159,"Geel-Bel2018"
"131","AGBro35",0.172826086956522,0.160714285714286,-0.00978260869565226,0.346074134199134,"Geel-Bel2018"
"132","AGBro375",0.0576923076923077,0.0458333333333335,-0.0571428571428573,0.216304347826087,"Geel-Bel2018"
"133","AGBro403",0.0114285714285714,0.000714285714285699,-0.1059375,0.142741935483871,"Geel-Bel2018"
"134","AGBro419",0.0544642857142857,0.0423706896551725,-0.0617282006048387,0.201,"Geel-Bel2018"
"135","AGBro467",-0.003125,-0.01484375,-0.0912162162162162,0.0883541666666667,"Geel-Bel2018"
"136","AGBro480",0.0146551724137931,0.00583333333333336,-0.108823529411765,0.149097222222222,"Geel-Bel2018"
"137","AGBro487",-0.025,-0.0305555555555555,-0.0804882812499999,0.0240740740740741,"Geel-Bel2018"
"138","AGBro57",0.21671826625387,0.207612456747405,-0.00619195046439638,0.410258073817762,"Geel-Bel2018"
"139","AGBro76",0.0825,0.0724568965517241,-0.0543035714285714,0.2462,"Geel-Bel2018"
"140","AGBro9",0.0318181818181818,0.0208409926470588,-0.0655405405405405,0.127633158866995,"Geel-Bel2018"
"141","AGBro110",0.006060606060606,-0.00351562499999999,-0.108344594594595,0.147413793103448,"Oostvoordduinen2018"
"142","AGBro111",0.0272727272727273,0.0147058823529413,-0.0804222972972973,0.145178091397849,"Oostvoordduinen2018"
"143","AGBro116",-0.00833333333333336,-0.0216466131907308,-0.109285714285714,0.108063988095238,"Oostvoordduinen2018"
"144","AGBro12",-0.0680555555555556,-0.0763888888888889,-0.131895432692308,-0.0125,"Oostvoordduinen2018"
"145","AGBro138",0.0153846153846152,-0.000925925925925988,-0.0752083333333333,0.145833333333333,"Oostvoordduinen2018"
"146","AGBro144",-0.0671428571428572,-0.0729448198198198,-0.142400056306306,-0.00530303030303039,"Oostvoordduinen2018"
"147","AGBro153",0.0703703703703704,0.0607142857142857,-0.0541072328629033,0.211471875,"Oostvoordduinen2018"
