"populations" "actual" "lower" "upper"
"105" "Averbode_P15,  vs  Geel-Bel_292," 0.0019 -0.0358 0.0682
"106" "Averbode_P15,  vs  Hamont-Achel1_D111," 0.0135 -0.0248 0.0777
"107" "Averbode_P15,  vs  Hamont-Achel2_D102," 0.0487 -0.015 0.1475
"108" "Averbode_P15,  vs  Hamont-Achel3_D97," 0.0107 -0.0225 0.0722
"109" "Averbode_P15,  vs  Harchies_W2," 0.1177 0.0705 0.1793
"110" "Averbode_P15,  vs  HB-Doornpanne_256," 0.0067 -0.0358 0.0857
"111" "Averbode_P15,  vs  HB-Noord_247," 0.0049 -0.0343 0.0826
"112" "Averbode_P15,  vs  HB-Oost_241," 0.001 -0.0348 0.0767
"113" "Averbode_P15,  vs  HB-Pylyserlaan_201," 0.0012 -0.0294 0.0682
"114" "Averbode_P15,  vs  Kalmthout_D84," 0.0449 -0.0039 0.1143
"115" "Averbode_P15,  vs  Karthuizerduinen_T77," 7e-04 -0.0332 0.0662
"116" "Averbode_P15,  vs  Keiheuvel_D51," 0.0048 -0.0239 0.0559
"117" "Averbode_P15,  vs  Kopberg_D24," 0.0031 -0.0255 0.0557
"118" "Averbode_P15,  vs  Kortenhoeff-NL_D61," 0.1193 0.0528 0.2223
"119" "Averbode_P15,  vs  Lagland_W28," 0.0664 0.031 0.1219
"120" "Averbode_P15,  vs  MtStFrieux_667," 0.0111 -0.0199 0.0697
"121" "Averbode_P15,  vs  Oosthoekduinen_89," 0.0067 -0.032 0.0761
"122" "Averbode_P15,  vs  Oostvoordduinen_T78," 0.0089 -0.0346 0.0834
"123" "Averbode_P15,  vs  Plaatsduinen_440," 0.007 -0.0396 0.0878
"124" "Averbode_P15,  vs  Raversijde1_G38," 0.0106 -0.043 0.1019
"125" "Averbode_P15,  vs  Raversijde2_G253," 0.0022 -0.0404 0.0869
"126" "Averbode_P15,  vs  Sangatte_687," 0.0014 -0.0334 0.0789
"127" "Averbode_P15,  vs  Schipgatduinen_T41," 0.0129 -0.0296 0.0865
"128" "Averbode_P15,  vs  Simliduinen_473," 0.0014 -0.0331 0.0718
"129" "Averbode_P15,  vs  Sint-Laureins1_G91," 0.0031 -0.0443 0.0826
"130" "Averbode_P15,  vs  Sint-Laureins2_G84," 0.0025 -0.0431 0.0876
"131" "Averbode_P15,  vs  Slack_632," 8e-04 -0.03 0.057
